kode_golongan;kode_bidang;nama_bidang
1;0;PERSEDIAAN
1;1;BARANG PAKAI HABIS
1;2;BARANG TAK HABIS PAKAI
1;3;BARANG BEKAS DIPAKAI
2;0;TANAH
2;1;TANAH
3;0;PERALATAN DAN MESIN
3;1;ALAT BESAR
3;2;ALAT ANGKUTAN
3;3;ALAT BENGKEL DAN ALAT UKUR
3;4;ALAT PERTANIAN
3;5;ALAT KANTOR DAN RUMAH TANGGA
3;6;ALAT STUDIO, KOMUNIKASI DAN PEMANCAR
3;7;KOMPUTER
3;8;ALAT PENGEBORAN
3;9;ALAT PRODUKSI, PENGOLAHAN DAN PEMURNIAN
3;10;PERALATAN OLAH RAGA
4;0;GEDUNG DAN BANGUNAN
4;1;BANGUNAN GEDUNG
4;2;MONUMEN
5;0;JALAN, JARINGAN DAN IRIGASI
5;1;JALAN DAN JEMBATAN
5;2;BANGUNAN AIR
5;3;INSTALASI
5;4;JARINGAN
6;0;ASET TETAP LAINNYA
6;1;BAHAN PERPUSTAKAAN
6;2;BARANG BERCORAK KESENIAN/KEBUDAYAAN/OLAHRAGA
6;3;HEWAN
6;4;IKAN
6;5;TANAMAN
6;6;ASET TETAP DALAM RENOVASI
7;0;KONSTRUKSI DALAM PENGERJAAN
7;1;KONSTRUKSI DALAM PENGERJAAN
8;0;ASET TIDAK BERWUJUD
8;1;ASET TIDAK BERWUJUD
8;2;ASET TIDAK BERWUJUD DALAM PENGERJAAN
