kode_golongan;kode_bidang;kode_kelompok;kode_sub_kelompok;nama_sub_kelompok
1;0;0;0;PERSEDIAAN
1;1;0;0;BARANG PAKAI HABIS
1;1;1;0;BAHAN
1;1;1;1;BAHAN BANGUNAN DAN KONSTRUKSI
1;1;1;2;BAHAN KIMIA
1;1;1;3;BAHAN PELEDAK
1;1;1;4;BAHAN BAKAR DAN PELUMAS
1;1;1;5;BAHAN BAKU
1;1;1;6;BARANG DALAM PROSES
1;1;1;99;BAHAN LAINNYA
1;1;2;0;SUKU CADANG
1;1;2;1;SUKU CADANG ALAT ANGKUTAN
1;1;2;2;SUKU CADANG ALAT BESAR
1;1;2;3;SUKU CADANG ALAT KEDOKTERAN
1;1;2;4;SUKU CADANG ALAT LABORATORIUM
1;1;2;5;SUKU CADANG ALAT PEMANCAR
1;1;2;6;SUKU CADANG ALAT STUDIO DAN KOMUNIKASI
1;1;2;7;SUKU CADANG ALAT PERTANIAN
1;1;2;8;SUKU CADANG ALAT BENGKEL
1;1;2;99;SUKU CADANG LAINNYA
1;1;3;0;ALAT/BAHAN UNTUK KEGIATAN KANTOR
1;1;3;1;ALAT TULIS KANTOR
1;1;3;2;KERTAS DAN COVER
1;1;3;3;BAHAN CETAK
1;1;3;4;BAHAN KOMPUTER
1;1;3;5;PERABOT KANTOR
1;1;3;6;ALAT LISTRIK
1;1;3;7;PERLENGKAPAN DINAS
1;1;3;99;ALAT/BAHAN UNTUK KEGIATAN KANTOR LAINNYA
1;1;4;0;OBAT-OBATAN
1;1;4;1;OBAT
1;1;5;0;PERSEDIAAN UNTUK DIJUAL/DISERAHKAN
1;1;5;1;PERSEDIAAN UNTUK DIJUAL/DISERAHKAN  KEPADA MASYARAKAT
1;1;6;0;PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA
1;1;6;1;PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA
1;1;7;0;NATURA DAN PAKAN
1;1;7;1;NATURA
1;1;7;2;PAKAN
1;1;7;99;NATURA DAN PAKAN LAINNYA
1;1;8;0;PERSEDIAAN PENELITIAN BIOLOGI
1;1;8;1;PERSEDIAAN PENELITIAN BIOLOGI
1;2;0;0;BARANG TAK HABIS PAKAI
1;2;1;0;KOMPONEN
1;2;1;1;KOMPONEN JEMBATAN BAJA
1;2;1;2;KOMPONEN JEMBATAN PRATEKAN
1;2;1;3;KOMPONEN PERALATAN
1;2;1;4;KOMPONEN RAMBU-RAMBU
1;2;1;5;ATTACHMENT
1;2;1;99;KOMPONEN LAINNYA
1;2;2;0;P I P A
1;2;2;1;PIPA AIR BESI TUANG (DCI)
1;2;2;2;PIPA ASBES SEMEN (ACP)
1;2;2;3;PIPA BAJA
1;2;2;4;PIPA BETON PRATEKAN
1;2;2;5;PIPA FIBER GLASS
1;2;2;6;PIPA PLASTIK PVC (UPVC)
1;2;2;99;PIPA LAINNYA
1;2;3;0;RAMBU-RAMBU
1;2;3;1;RAMBU-RAMBU
1;3;0;0;BARANG BEKAS DIPAKAI
1;3;1;0;KOMPONEN BEKAS DAN PIPA BEKAS
1;3;1;1;KOMPONEN BEKAS
1;3;1;2;PIPA BEKAS
1;3;1;99;KOMPONEN BEKAS DAN PIPA BEKAS LAINNYA
2;0;0;0;TANAH
2;1;0;0;TANAH DESA
2;1;1;0;TANAH KAS DESA
2;1;1;1;TANAH BENGKOK
2;1;1;2;TANAH BONDO
2;1;1;3;TANAH KALAKERAN NEGERI
2;1;1;4;TANAH PECATU
2;1;1;5;TANAH PENGAREM-AREM
2;1;1;6;TANAH TITISARA
2;1;2;0;TANAH PERKAMPUNGAN
2;1;2;1;TANAH PERKAMPUNGAN
2;1;2;2;EMPLASMEN
2;1;2;3;TANAH KUBURAN
2;1;3;0;TANAH PERTANIAN
2;1;3;1;SAWAH SATU TAHUN DITANAMI
2;1;3;2;TANAH KERING/TEGALAN
2;1;3;3;LADANG
2;1;4;0;TANAH PERKEBUNAN
2;1;4;1;TANAH PERKEBUNAN
2;1;5;0;TANAH HUTAN
2;1;5;1;TANAH HUTAN LEBAT (DITANAMI  JENIS KAYU UTAMA)
2;1;5;2;TANAH HUTAN BELUKAR
2;1;5;3;HUTAN TANAMAN JENIS
2;1;5;4;HUTAN ALAM SEJENIS/HUTAN RAWA
2;1;5;5;HUTAN UNTUK PENGGUNAAN KHUSUS
2;1;6;0;TANAH KEBUN CAMPURAN
2;1;6;1;TANAH YANG TIDAK ADA JARINGAN PENGAIRAN
2;1;6;2;TUMBUH LIAR BERCAMPUR JENIS LAIN
2;1;7;0;TANAH KOLAM IKAN
2;1;7;1;TAMBAK
2;1;7;2;AIR TAWAR
2;1;8;0;TANAH DANAU / RAWA
2;1;8;1;RAWA
2;1;8;2;DANAU
2;1;9;0;TANAH TANDUS / RUSAK
2;1;9;1;TANAH TANDUS
2;1;9;2;TANAH RUSAK
2;1;10;0;TANAH ALANG-ALANG DAN PADANG RUMPUT
2;1;10;1;ALANG-ALANG
2;1;10;2;PADANG RUMPUT
2;1;11;0;TANAH PERTAMBANGAN
2;1;11;1;TANAH PERTAMBANGAN
2;1;12;0;TANAH UNTUK BANGUNAN GEDUNG
