kode_golongan;kode_bidang;kode_kelompok;kode_sub_kelompok;kode_sub_sub_kelompok;nama_sub_sub_kelompok
1;0;0;0;0;PERSEDIAAN
1;1;0;0;0;BARANG PAKAI HABIS
1;1;1;0;0;BAHAN
1;1;1;1;0;BAHAN BANGUNAN DAN KONSTRUKSI
1;1;1;1;1;Aspal
1;1;1;1;2;Semen
1;1;1;1;3;Kaca
1;1;1;1;4;Pasir
1;1;1;1;5;Batu
1;1;1;1;6;Cat
1;1;1;1;7;Seng
1;1;1;1;8;Baja
1;1;1;1;9;Electro Dalas
1;1;1;1;10;Patok Beton
1;1;1;1;11;Tiang Beton
1;1;1;1;12;Besi Beton
1;1;1;1;13;Tegel
1;1;1;1;14;Genteng
1;1;1;1;15;Bis Beton
1;1;1;1;16;Plat
1;1;1;1;17;Steel Sheet Pile
1;1;1;1;18;Concrete Sheet Pile
1;1;1;1;19;Kawat Bronjong
1;1;1;1;20;Karung
1;1;1;1;21;Minyak Cat/Thinner
1;1;1;1;999;Bahan Bangunan Dan Konstruksi  Lainnya
1;1;1;2;0;BAHAN KIMIA
1;1;1;2;1;Bahan Kimia Padat
1;1;1;2;2;Bahan Kimia Cair
1;1;1;2;3;Bahan Kimia Gas
1;1;1;2;999;Bahan Kimia Lainnya
1;1;1;3;0;BAHAN PELEDAK
1;1;1;3;1;Anfo
1;1;1;3;2;Detonator
1;1;1;3;3;Dinamit
1;1;1;3;4;Gelatine
1;1;1;3;5;Sumbu Ledak/Api
1;1;1;3;999;Bahan Peledak Lainnya
1;1;1;4;0;BAHAN BAKAR DAN PELUMAS
1;1;1;4;1;Bahan Bakar Minyak
1;1;1;4;2;Minyak Pelumas
1;1;1;4;3;Minyak Hydrolis
1;1;1;4;4;Bahan Bakar Gas
1;1;1;4;5;Batubara
1;1;1;4;999;Bahan Bakar Dan Pelumas Lainnya
1;1;1;5;0;BAHAN BAKU
1;1;1;5;1;Kawat
1;1;1;5;2;Kayu
1;1;1;5;3;Logam/Metalorgi
1;1;1;5;4;Latex
1;1;1;5;5;Biji Plastik
1;1;1;5;6;Karet (Bahan Baku)
1;1;1;5;999;Bahan Baku Lainnya
1;1;1;6;0;BARANG DALAM PROSES
1;1;1;6;1;Barang Dalam Proses
1;1;1;6;999;Barang Dalam Proses Lainnya
1;1;1;99;0;BAHAN LAINNYA
1;1;1;99;999;Bahan Lainnya
1;1;2;0;0;SUKU CADANG
1;1;2;1;0;SUKU CADANG ALAT ANGKUTAN
1;1;2;1;1;Suku Cadang Alat Angkutan Darat Bermotor
1;1;2;1;2;Suku Cadang Alat Angkutan Darat Tak Bermotor
1;1;2;1;3;Suku Cadang Alat Angkutan Apung Bermotor
1;1;2;1;4;Suku Cadang Alat Angkutan Apung Tak Bermotor
